id	title	url	bytes
000001	Video game	https://en.wikipedia.org/wiki/Video_game	67987
000002	Odyssey series	https://en.wikipedia.org/wiki/Odyssey_series	12952
000003	Max Payne 3	https://en.wikipedia.org/wiki/Max_Payne_3	24767
000004	Holodeck	https://en.wikipedia.org/wiki/Holodeck	12376
000005	History of video games	https://en.wikipedia.org/wiki/History_of_video_games	114786
000006	20XX	https://en.wikipedia.org/wiki/20XX	3214
000007	Alien Hominid	https://en.wikipedia.org/wiki/Alien_Hominid	5773
000008	Antichamber	https://en.wikipedia.org/wiki/Antichamber	10393
000009	Avernum	https://en.wikipedia.org/wiki/Avernum	12323
000010	Battleships Forever	https://en.wikipedia.org/wiki/Battleships_Forever	6485
000011	Blasphemous (video game)	https://en.wikipedia.org/wiki/Blasphemous_(video_game)	15879
000012	Braid (video game)	https://en.wikipedia.org/wiki/Braid_(video_game)	30791
000013	Cave Story	https://en.wikipedia.org/wiki/Cave_Story	20628
000014	Cloud (video game)	https://en.wikipedia.org/wiki/Cloud_(video_game)	6679
000015	Crayon Physics Deluxe	https://en.wikipedia.org/wiki/Crayon_Physics_Deluxe	3985
000016	Darwinia (video game)	https://en.wikipedia.org/wiki/Darwinia_(video_game)	7839
000017	Dink Smallwood	https://en.wikipedia.org/wiki/Dink_Smallwood	8724
000018	Dominions II: The Ascension Wars	https://en.wikipedia.org/wiki/Dominions_II:_The_Ascension_Wars	13823
000019	Eets	https://en.wikipedia.org/wiki/Eets	6769
000020	Exile (1995 video game series)	https://en.wikipedia.org/wiki/Exile_(1995_video_game_series)	10085
000021	FastCrawl	https://en.wikipedia.org/wiki/FastCrawl	5179
000022	Galactic Civilizations	https://en.wikipedia.org/wiki/Galactic_Civilizations	3702
000023	God of Rock	https://en.wikipedia.org/wiki/God_of_Rock	2028
000024	Harvest: Massive Encounter	https://en.wikipedia.org/wiki/Harvest:_Massive_Encounter	1356
000025	Hero Core	https://en.wikipedia.org/wiki/Hero_Core	1632
000026	Indie Game Jam	https://en.wikipedia.org/wiki/Indie_Game_Jam	4510
000027	JellyCar	https://en.wikipedia.org/wiki/JellyCar	7128
000028	King of Dragon Pass	https://en.wikipedia.org/wiki/King_of_Dragon_Pass	5857
000029	Limbo (video game)	https://en.wikipedia.org/wiki/Limbo_(video_game)	36482
000030	Lucius II: The Prophecy	https://en.wikipedia.org/wiki/Lucius_II:_The_Prophecy	3092
000031	Manic Miner	https://en.wikipedia.org/wiki/Manic_Miner	5899
000032	Mighty Flip Champs!	https://en.wikipedia.org/wiki/Mighty_Flip_Champs!	6606
000033	Moonlighter (video game)	https://en.wikipedia.org/wiki/Moonlighter_(video_game)	6184
000034	N (video game)	https://en.wikipedia.org/wiki/N_(video_game)	3819
000035	Oasis (video game)	https://en.wikipedia.org/wiki/Oasis_(video_game)	6556
000036	Osu!	https://en.wikipedia.org/wiki/Osu!	9021
000037	Perfect Cherry Blossom	https://en.wikipedia.org/wiki/Perfect_Cherry_Blossom	16040
000038	President Forever 2008 + Primaries	https://en.wikipedia.org/wiki/President_Forever_2008_+_Primaries	8931
000039	Psychonauts	https://en.wikipedia.org/wiki/Psychonauts	38333
000040	RoboBlitz	https://en.wikipedia.org/wiki/RoboBlitz	1958
000041	Samorost	https://en.wikipedia.org/wiki/Samorost	3144
000042	Serious Sam: The First Encounter	https://en.wikipedia.org/wiki/Serious_Sam:_The_First_Encounter	32471
000043	The Shivah	https://en.wikipedia.org/wiki/The_Shivah	6471
000044	Soldat (video game)	https://en.wikipedia.org/wiki/Soldat_(video_game)	13200
000045	Starscape	https://en.wikipedia.org/wiki/Starscape	4236
000046	Strange Adventures in Infinite Space	https://en.wikipedia.org/wiki/Strange_Adventures_in_Infinite_Space	13729
000047	Survival Crisis Z	https://en.wikipedia.org/wiki/Survival_Crisis_Z	1938
000048	Things on Wheels	https://en.wikipedia.org/wiki/Things_on_Wheels	4336
000049	Tread Marks	https://en.wikipedia.org/wiki/Tread_Marks	3299
000050	UPIXO in Action: Mission in Snowdriftland	https://en.wikipedia.org/wiki/UPIXO_in_Action:_Mission_in_Snowdriftland	3791
000051	Warning Forever	https://en.wikipedia.org/wiki/Warning_Forever	2654
000052	Wik and the Fable of Souls	https://en.wikipedia.org/wiki/Wik_and_the_Fable_of_Souls	2030
000053	Wurm Online	https://en.wikipedia.org/wiki/Wurm_Online	4319
000054	Grand Theft Auto: Vice City	https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Vice_City	33060
000055	List of video game industry people	https://en.wikipedia.org/wiki/List_of_video_game_industry_people	17026
000056	The Perfect General	https://en.wikipedia.org/wiki/The_Perfect_General	1800
000057	Wikiracing	https://en.wikipedia.org/wiki/Wikiracing	3135
000058	Media archaeology	https://en.wikipedia.org/wiki/Media_archaeology	3518
